Player,Tm,AST
Isiah Thomas*,DET,1123
Magic Johnson*,LAL,968
Johnny Moore,SAS,816
Norm Nixon,LAC,711
John Bagley,CLE,697
Micheal Ray Richardson,NJN,669
Reggie Theus,KCK,656
Fat Lever,DEN,613
Gus Williams,WSB,608
Rickey Green,UTA,597
Brad Davis,DAL,581
Eddie Johnson,ATL,566
Gerald Henderson,SEA,559
Rory Sparrow,NYK,557
Paul Pressey,MIL,543
Dennis Johnson*,BOS,543
Larry Bird*,BOS,531
Darnell Valentine,POR,522
Maurice Cheeks*,PHI,497
Larry Drew,KCK,484
