Player,Tm,AST
Magic Johnson*,LAL,907
Isiah Thomas*,DET,830
Reggie Theus,SAC,788
Maurice Cheeks*,PHI,753
Sleepy Floyd,GSW,746
John Bagley,CLE,735
Paul Pressey,MIL,623
John Stockton*,UTA,610
Clyde Drexler*,POR,600
Fat Lever,DEN,584
Norm Nixon,LAC,576
John Lucas,HOU,571
Larry Bird*,BOS,557
Jay Humphries,PHO,526
Vern Fleming,IND,505
Gerald Henderson,SEA,487
Wes Matthews,SAS,476
Rory Sparrow,NYK,472
Brad Davis,DAL,467
Michael Cooper,LAL,466
