Player,Tm,AST
Magic Johnson*,LAL,829
Johnny Moore,SAS,753
Rickey Green,UTA,697
Gus Williams,SEA,643
Isiah Thomas*,DET,634
Larry Drew,KCK,610
Ray Williams,KCK,569
Norm Nixon,LAL,566
Brad Davis,DAL,565
Frank Johnson,WSB,549
Maurice Cheeks*,PHI,543
Allen Leavell,HOU,530
Geoff Huston,CLE,487
Reggie Theus,CHI,484
Larry Bird*,BOS,458
Lorenzo Romar,GSW,455
Darwin Cook,NJN,448
Paul Westphal*,NYK,439
Mike Dunleavy,SAS,437
Jerry Sichting,IND,433
