Player,Tm,VORP
Michael Jordan*,CHI,11.4
John Stockton*,UTA,8.3
Magic Johnson*,LAL,8.3
Charles Barkley*,PHI,7.4
Clyde Drexler*,POR,6.6
Karl Malone*,UTA,5.9
Hakeem Olajuwon*,HOU,5.7
Fat Lever,DEN,5.0
Kevin Johnson,PHO,5.0
Patrick Ewing*,NYK,4.8
Ron Harper,CLE,4.8
Chris Mullin*,GSW,4.7
Mark Price,CLE,4.5
Doc Rivers,ATL,4.2
Dominique Wilkins*,ATL,4.1
John Williams,WSB,4.0
Derek Harper,DAL,3.9
Robert Parish*,BOS,3.8
Dale Ellis,SEA,3.8
Larry Nance,CLE,3.8
