Player,Tm,VORP
Larry Bird*,BOS,8.7
Michael Jordan*,CHI,7.4
Isiah Thomas*,DET,6.5
Magic Johnson*,LAL,6.1
Kareem Abdul-Jabbar*,LAL,4.8
Micheal Ray Richardson,NJN,4.8
Sidney Moncrief*,MIL,4.7
Paul Pressey,MIL,4.5
Terry Cummings,MIL,4.3
Clyde Drexler*,POR,4.1
Johnny Moore,SAS,3.9
Jack Sikma*,SEA,3.9
Maurice Cheeks*,PHI,3.8
Rodney McCray,HOU,3.6
Bernard King*,NYK,3.6
Larry Nance,PHO,3.5
Julius Erving*,PHI,3.5
Alex English*,DEN,3.5
Calvin Natt,DEN,3.4
Alvan Adams,PHO,3.2
