Player,Tm,VORP
Julius Erving*,PHI,6.9
Kareem Abdul-Jabbar*,LAL,6.1
Adrian Dantley*,UTA,5.4
Larry Bird*,BOS,5.2
Marques Johnson,MIL,4.9
Artis Gilmore*,CHI,4.5
Robert Parish*,BOS,4.3
Moses Malone*,HOU,4.3
Micheal Ray Richardson,NYK,4.2
Magic Johnson*,LAL,3.8
Cedric Maxwell,BOS,3.8
Alvan Adams,PHO,3.7
Maurice Cheeks*,PHI,3.7
Bernard King*,GSW,3.6
George Gervin*,SAS,3.5
Bobby Jones*,PHI,3.5
Sidney Moncrief*,MIL,3.5
Ray Williams,NYK,3.5
Alex English*,DEN,3.2
Dan Issel*,DEN,3.1
