Player,Tm,VORP
Michael Jordan*,CHI,12.5
Larry Bird*,BOS,8.1
John Stockton*,UTA,7.6
Charles Barkley*,PHI,7.5
Clyde Drexler*,POR,7.0
Fat Lever,DEN,5.5
Magic Johnson*,LAL,5.3
Dominique Wilkins*,ATL,4.7
Hakeem Olajuwon*,HOU,4.6
Doc Rivers,ATL,4.4
Derek Harper,DAL,4.2
Byron Scott,LAL,4.2
Patrick Ewing*,NYK,4.0
Terry Porter,POR,4.0
Mark Aguirre,DAL,3.9
Maurice Cheeks*,PHI,3.9
Mark Jackson,NYK,3.9
Alvin Robertson,SAS,3.7
Isiah Thomas*,DET,3.7
Kevin McHale*,BOS,3.3
