Player,Tm,VORP
Michael Jordan*,CHI,10.6
Larry Bird*,BOS,8.6
Magic Johnson*,LAL,8.0
Charles Barkley*,PHI,6.0
Dominique Wilkins*,ATL,5.6
Kevin McHale*,BOS,5.5
Fat Lever,DEN,5.4
Hakeem Olajuwon*,HOU,5.4
Clyde Drexler*,POR,5.4
Doc Rivers,ATL,5.3
Sleepy Floyd,GSW,4.9
Derek Harper,DAL,4.6
Larry Nance,PHO,4.5
Isiah Thomas*,DET,4.0
Rodney McCray,HOU,3.7
Terry Cummings,MIL,3.7
Maurice Cheeks*,PHI,3.4
Alvin Robertson,SAS,3.4
Dale Ellis,SEA,3.4
John Stockton*,UTA,3.4
