Player,Tm,FG
Michael Jordan*,CHI,1034
Patrick Ewing*,NYK,922
Karl Malone*,UTA,914
Tom Chambers,PHO,810
Dominique Wilkins*,ATL,810
Hakeem Olajuwon*,HOU,806
Jeff Malone,WSB,781
Terry Cummings,SAS,728
Wayman Tisdale,SAC,726
Tony Campbell,MIN,723
Larry Bird*,BOS,718
James Worthy*,LAL,711
Bernard King*,WSB,711
Charles Barkley*,PHI,706
David Robinson*,SAS,690
Chris Mullin*,GSW,682
Clyde Drexler*,POR,670
Reggie Miller*,IND,661
Kevin McHale*,BOS,648
Mitch Richmond*,GSW,640
