Player,Tm,FG
Alex English*,DEN,939
Larry Bird*,BOS,918
Dominique Wilkins*,ATL,853
Michael Jordan*,CHI,837
Purvis Short,GSW,819
Mark Aguirre,DAL,794
Mike Mitchell,SAS,775
Eddie Johnson,KCK,769
Terry Cummings,MIL,759
Ralph Sampson*,HOU,753
Darrell Griffith,UTA,728
Kareem Abdul-Jabbar*,LAL,723
Bernard King*,NYK,691
Micheal Ray Richardson,NJN,690
Calvin Natt,DEN,685
Derek Smith,LAC,682
Orlando Woolridge,CHI,679
Hakeem Olajuwon*,HOU,677
Isiah Thomas*,DET,646
Gus Williams,WSB,638
