Player,Tm,FG
Adrian Dantley*,UTA,909
Mike Mitchell,CLE,853
George Gervin*,SAS,850
Kareem Abdul-Jabbar*,LAL,836
Moses Malone*,HOU,806
Julius Erving*,PHI,794
Jamaal Wilkes*,LAL,786
Alex English*,DEN,768
David Thompson*,DEN,734
Bernard King*,GSW,731
Larry Bird*,BOS,719
Darrell Griffith,UTA,716
Otis Birdsong,KCK,710
Scott Wedman,KCK,685
Truck Robinson,PHO,647
Freeman Williams,SDC,642
Marques Johnson,MIL,636
Robert Parish*,BOS,635
Mike Newlin,NJN,632
Bill Cartwright,NYK,619
