Player,Tm,FG
Alex English*,DEN,959
Kiki Vandeweghe,DEN,841
Joe Barry Carroll,GSW,785
Mark Aguirre,DAL,767
George Gervin*,SAS,757
Darrell Griffith,UTA,752
Reggie Theus,CHI,749
Larry Bird*,BOS,747
Isiah Thomas*,DET,725
Marques Johnson,MIL,723
Kareem Abdul-Jabbar*,LAL,722
Mike Mitchell,SAS,686
Terry Cummings,SDC,684
Jamaal Wilkes*,LAL,684
Jim Paxson,POR,682
Clark Kellogg,IND,680
Eddie Johnson,KCK,677
Walter Davis,PHO,665
Dan Issel*,DEN,661
Gus Williams,SEA,660
