Player,Tm,FG
Michael Jordan*,CHI,966
Alex English*,DEN,924
Dale Ellis,SEA,857
Chris Mullin*,GSW,830
Clyde Drexler*,POR,829
Dominique Wilkins*,ATL,814
Karl Malone*,UTA,809
Hakeem Olajuwon*,HOU,790
Tom Chambers,PHO,774
Terry Cummings,MIL,730
Patrick Ewing*,NYK,727
Chuck Person,IND,711
James Worthy*,LAL,702
Charles Barkley*,PHI,700
Jeff Malone,WSB,677
Xavier McDaniel,SEA,677
Kevin McHale*,BOS,661
Bernard King*,WSB,654
Mitch Richmond*,GSW,649
Willie Anderson,SAS,640
