Player,Tm,DWS
Michael Adams,DEN,2.5
Mark Aguirre,DET,2.5
Robert Parish*,BOS,2.1
Scottie Pippen*,CHI,2.1
Ricky Pierce,MIL,2.1
Chuck Person,IND,2.1
Sam Perkins,DAL,2.1
John Paxson,CHI,2.1
Jim Paxson,BOS,2.1
Hakeem Olajuwon*,HOU,2.1
Paul Pressey,MIL,2.1
Charles Oakley,NYK,2.1
Ken Norman,LAC,2.1
Johnny Newman,NYK,2.1
Larry Nance,CLE,2.1
Pete Myers,NJN,2.1
Terry Porter,POR,2.1
Harold Pressley,SAC,2.1
Chris Mullin*,GSW,2.1
Mark Price,CLE,2.1
