Player,Tm,DWS
Hakeem Olajuwon*,HOU,6.3
Michael Jordan*,CHI,6.1
Karl Malone*,UTA,6.1
Mark Eaton,UTA,5.2
Bill Laimbeer,DET,5.0
Fat Lever,DEN,4.9
John Stockton*,UTA,4.9
Patrick Ewing*,NYK,4.7
Charles Oakley,CHI,4.7
Roy Tarpley,DAL,4.4
Mark Jackson,NYK,4.2
Thurl Bailey,UTA,4.1
Jack Sikma*,MIL,3.9
Clyde Drexler*,POR,3.9
Larry Bird*,BOS,3.8
Michael Cage,LAC,3.8
Steve Stipanovich,IND,3.8
Jerome Kersey,POR,3.8
Isiah Thomas*,DET,3.7
Brad Daugherty,CLE,3.6
