Player,Tm,DWS
Mark Eaton,UTA,6.7
Larry Bird*,BOS,5.2
Terry Cummings,MIL,5.1
Hakeem Olajuwon*,HOU,4.9
Ralph Sampson*,HOU,4.8
Paul Pressey,MIL,4.4
Alton Lister,MIL,4.3
Micheal Ray Richardson,NJN,4.2
Bill Laimbeer,DET,4.1
Buck Williams,NJN,4.0
Moses Malone*,PHI,4.0
Robert Parish*,BOS,4.0
Greg Ballard,WSB,3.9
Rick Mahorn,WSB,3.9
Gus Williams,WSB,3.9
Sidney Moncrief*,MIL,3.9
Darrell Griffith,UTA,3.8
Thurl Bailey,UTA,3.8
Michael Jordan*,CHI,3.7
Jack Sikma*,SEA,3.7
