Player,Tm,DWS
Hakeem Olajuwon*,HOU,6.0
Karl Malone*,UTA,5.1
Mark Eaton,UTA,5.0
Michael Jordan*,CHI,5.0
Bill Laimbeer,DET,4.9
Larry Bird*,BOS,4.8
Terry Cummings,MIL,4.7
Jack Sikma*,MIL,4.7
Charles Oakley,CHI,4.6
Robert Parish*,BOS,4.5
Steve Stipanovich,IND,4.4
Ron Harper,CLE,4.4
Charles Barkley*,PHI,4.3
Kevin Willis,ATL,4.2
Kevin McHale*,BOS,4.0
Chuck Person,IND,3.9
James Donaldson,DAL,3.9
Doc Rivers,ATL,3.9
Isiah Thomas*,DET,3.8
Rodney McCray,HOU,3.8
