Player,Tm,DWS
Hakeem Olajuwon*,HOU,7.8
Karl Malone*,UTA,6.6
Mark Eaton,UTA,6.5
John Stockton*,UTA,5.8
Michael Jordan*,CHI,5.2
Ron Harper,CLE,5.1
Bill Laimbeer,DET,5.0
Larry Nance,CLE,4.7
Patrick Ewing*,NYK,4.7
Brad Daugherty,CLE,4.6
Fat Lever,DEN,4.2
Otis Thorpe,HOU,4.1
Thurl Bailey,UTA,4.1
Tom Chambers,PHO,4.1
Magic Johnson*,LAL,4.0
Moses Malone*,ATL,3.9
Isiah Thomas*,DET,3.9
Dennis Rodman*,DET,3.9
Clyde Drexler*,POR,3.8
Hot Rod Williams,CLE,3.8
