Player,Tm,DWS
Larry Bird*,BOS,6.2
Charles Barkley*,PHI,5.5
Terry Cummings,MIL,4.9
Mark Eaton,UTA,4.8
Robert Parish*,BOS,4.8
Paul Pressey,MIL,4.7
Alvin Robertson,SAS,4.6
Jack Sikma*,SEA,4.4
Karl Malone*,UTA,4.3
Manute Bol,WSB,4.2
Herb Williams,IND,4.2
Hakeem Olajuwon*,HOU,4.2
Cliff Robinson,WSB,4.1
Ralph Sampson*,HOU,4.0
Buck Williams,NJN,4.0
Dominique Wilkins*,ATL,3.9
Kevin McHale*,BOS,3.8
Alton Lister,MIL,3.8
Bill Laimbeer,DET,3.8
Dennis Johnson*,BOS,3.7
