Player,Tm,DWS
Jack Sikma*,SEA,6.7
Larry Bird*,BOS,5.7
Greg Ballard,WSB,5.3
Buck Williams,NJN,5.3
Rick Mahorn,WSB,5.1
Robert Parish*,BOS,5.1
Magic Johnson*,LAL,4.8
Alvan Adams,PHO,4.7
Julius Erving*,PHI,4.6
Ray Williams,NJN,4.6
Sidney Moncrief*,MIL,4.5
Gus Williams,SEA,4.3
Lonnie Shelton,SEA,4.3
Tree Rollins,ATL,4.2
Caldwell Jones,PHI,4.1
Jeff Ruland,WSB,4.1
Dan Roundfield,ATL,4.1
Maurice Cheeks*,PHI,4.0
Dennis Johnson*,PHO,4.0
Truck Robinson,PHO,4.0
