Player,Tm,DWS
Larry Bird*,BOS,5.6
Buck Williams,NJN,4.9
Robert Parish*,BOS,4.8
Moses Malone*,PHI,4.6
Julius Erving*,PHI,4.5
Jack Sikma*,SEA,4.4
Jeff Ruland,WSB,4.3
Sidney Moncrief*,MIL,4.2
Bill Cartwright,NYK,4.2
Marques Johnson,MIL,4.2
Alton Lister,MIL,4.1
Rick Mahorn,WSB,4.1
Ralph Sampson*,HOU,4.1
Ray Williams,NYK,4.1
Clark Kellogg,IND,3.8
Tree Rollins,ATL,3.8
Larry Nance,PHO,3.7
Dave Greenwood,CHI,3.6
Dominique Wilkins*,ATL,3.6
Darryl Dawkins,NJN,3.6
