Player,Tm,DWS
Rick Mahorn,WSB,6.2
Moses Malone*,PHI,6.0
Buck Williams,NJN,5.9
Larry Nance,PHO,5.6
Larry Bird*,BOS,5.6
Jeff Ruland,WSB,5.5
Greg Ballard,WSB,5.1
Tree Rollins,ATL,5.0
Darwin Cook,NJN,4.7
Maurice Lucas,PHO,4.7
Jack Sikma*,SEA,4.6
Robert Parish*,BOS,4.6
Alvan Adams,PHO,4.5
Dan Roundfield,ATL,4.5
Bill Cartwright,NYK,4.4
Truck Robinson,NYK,4.2
Julius Erving*,PHI,4.1
Marques Johnson,MIL,4.1
Darryl Dawkins,NJN,4.0
Mychal Thompson,POR,3.9
