Player,Tm,Season,G,MP,PTS,TRB,AST,STL,BLK,TOV,PTS_share,AST_share,TRB_share,STL_share,BLK_share,TOV_share,MP_share,PER,TS%,WS/48,WS,BPM,VORP,z_PTS,z_TRB,z_AST,z_STL,z_BLK,z_TOV,z_TS_pct,z_PER,z_WS48,z_PTS_share,z_TRB_share,z_AST_share,z_MP_share,production_score,efficiency_score,dependence_score,z_production_score,z_efficiency_score,z_dependence_score,custom_impact_v1,dependence_rank,per_rank,bpm_rank,ws_rank,advanced_rank_avg,burden_gap,custom_impact_rank
Alexander Volkov,ATL,1989-1990,72,937,357,119,83,36,22,52,0.04,0.046,0.034,0.05,0.062,0.042,0.047,11.9,0.53,0.074,1.4,-1.2,0.2,-0.3758041041509095,-0.48886116012942754,-0.2884602642819356,-0.20280056361327004,-0.10509688682825499,-0.4206457503910701,0.32017747266026597,-0.017539547321276095,0.16296963417836532,-0.38877481093471566,-0.48602967167099026,-0.22627904772974824,-0.3409246410702512,-1.0967513785875,0.4656075595173552,-1.4420081714057056,-0.39419893597157424,0.16900256156473467,-0.409504050679073,-0.2298300211229312,235.0,234.0,184.0,205.0,207.66666666666666,-27.333333333333343,229.0
Antoine Carr,ATL,1989-1990,44,803,335,149,53,15,34,54,0.038,0.029,0.043,0.021,0.096,0.044,0.041,13.7,0.572,0.092,1.5,-0.8,0.3,-0.41600388023967455,-0.35291989210426916,-0.46989717353894994,-0.6841320489568729,0.16788484697963416,-0.3926801979371198,0.7547005237240513,0.26228085183794797,0.33526091316883017,-0.42101317914498065,-0.34083007962168166,-0.4384193600957173,-0.4602671637065392,-1.3006044479029528,1.3522422887308294,-1.660529782568919,-0.46746865287148326,0.48574331535588167,-0.47156020729919845,-0.18273252873158835,244.0,162.0,163.0,199.0,174.66666666666666,-69.33333333333334,219.0
Cliff Levingston,ATL,1989-1990,75,1706,516,319,80,55,41,49,0.058,0.044,0.092,0.077,0.116,0.04,0.086,12.1,0.54,0.096,3.4,-0.7,0.5,-0.08526935878210737,0.4174139600382951,-0.30660395520763706,0.23268982788808487,0.3271241917009028,-0.4625940790719956,0.42363534196116753,0.01355160814085982,0.3735478640556002,-0.09862949704233087,0.4497010326467767,-0.25123673153750936,0.4348017560656207,0.5367446953790423,0.8107348141576276,0.5346365601325571,0.1929190078423273,0.29229557410621515,0.15182704325592272,0.2104043883455723,166.0,226.0,158.0,126.0,170.0,4.0,160.0
Doc Rivers,ATL,1989-1990,48,1526,598,200,264,116,22,98,0.067,0.145,0.058,0.162,0.062,0.079,0.077,17.2,0.539,0.126,4.0,3.0,2.0,0.06456617027601701,-0.12181973646149988,0.806209088235384,1.6308431900766454,-0.10509688682825499,0.2225619560497877,0.41328955503107734,0.8063760724253284,0.6606999957063749,0.046443159903861525,-0.09883075953950045,1.0091263007544242,0.2557879721111888,1.4005476956492027,1.8803656231627808,1.2125266732299742,0.5033906701019106,0.6744097159953663,0.3443354858107781,0.5069798285826075,146.0,60.0,32.0,110.0,67.33333333333333,-78.66666666666667,117.0
Dominique Wilkins*,ATL,1989-1990,80,2888,2138,521,200,126,47,174,0.24,0.11,0.151,0.176,0.133,0.14,0.146,24.6,0.556,0.184,11.1,5.4,5.4,2.8785504964895723,1.332751831407695,0.4191436818204201,1.8600486592878849,0.46361505860484736,1.2852529492999007,0.5891679328426099,1.9567488245243616,1.2158607835645394,2.835062010091782,1.4015650249700224,0.5723668341186058,1.6282269824285007,5.1496513940141035,3.7617775409315106,6.437220851608911,1.8509090936902242,1.3465239580737811,1.8280534508205573,1.692736860144391,19.0,8.0,14.0,14.0,12.0,-7.0,13.0
