column_name
Player
Tm
Season
G
MP
PTS
TRB
AST
STL
BLK
TOV
PTS_share
AST_share
TRB_share
STL_share
BLK_share
TOV_share
MP_share
PER
TS%
WS/48
WS
BPM
VORP
