Player,Tm,FTA
Moses Malone*,PHI,788
George Gervin*,SAS,606
Sidney Moncrief*,MIL,604
Mark Aguirre,DAL,589
World B. Free,TOT,583
Kiki Vandeweghe,DEN,559
Jeff Ruland,WSB,544
Reggie Theus,CHI,542
Buck Williams,NJN,523
Isiah Thomas*,DET,518
Bill Cartwright,NYK,511
Artis Gilmore*,SAS,496
Alex English*,DEN,490
Tom Chambers,SDC,488
Dan Issel*,DEN,479
Jim Paxson,POR,478
Jack Sikma*,SEA,478
Joe Barry Carroll,GSW,469
Kelly Tripucka,DET,464
Dan Roundfield,ATL,450
