Player,Tm,FTA
Moses Malone*,HOU,804
Adrian Dantley*,UTA,784
Dan Issel*,DEN,684
World B. Free,GSW,649
George Gervin*,SAS,620
David Thompson*,DEN,615
John Drew,ATL,577
Kareem Abdul-Jabbar*,LAL,552
Reggie Theus,CHI,550
Julius Erving*,PHI,536
Artis Gilmore*,CHI,532
Bill Cartwright,NYK,518
Dennis Johnson*,PHO,501
Mike Newlin,NJN,466
Alex English*,DEN,459
Otis Birdsong,KCK,455
Cedric Maxwell,BOS,450
Tom LaGarde,DAL,444
James Silas,SAS,440
Joe Barry Carroll,GSW,440
