Player,Tm,FTA
Karl Malone*,UTA,918
Charles Barkley*,PHI,799
Michael Jordan*,CHI,793
Moses Malone*,ATL,711
Hakeem Olajuwon*,HOU,652
Tom Chambers,PHO,598
Kevin Johnson,PHO,576
Adrian Dantley*,TOT,568
Magic Johnson*,LAL,563
Chris Mullin*,GSW,553
Clyde Drexler*,POR,548
Kevin McHale*,BOS,533
Dominique Wilkins*,ATL,524
Brad Daugherty,CLE,524
Kelly Tripucka,CHH,508
Mitch Richmond*,GSW,506
Patrick Ewing*,NYK,484
Dale Ellis,SEA,462
Terry Cummings,MIL,460
John Stockton*,UTA,452
