Player,Tm,FTA
Adrian Dantley*,UTA,946
Moses Malone*,PHI,727
Jeff Ruland,WSB,636
Sidney Moncrief*,MIL,624
Mark Aguirre,DAL,621
Kiki Vandeweghe,DEN,580
Bernard King*,NYK,561
Isiah Thomas*,DET,529
Terry Cummings,SDC,528
Kelly Tripucka,DET,523
John Drew,UTA,517
George Gervin*,SAS,507
World B. Free,CLE,504
Bill Cartwright,NYK,502
Buck Williams,NJN,498
Dominique Wilkins*,ATL,496
Dan Roundfield,ATL,486
Julius Erving*,PHI,483
Jack Sikma*,SEA,480
Tom Chambers,SEA,469
